ZIP,geoid,index
90025,6037267402,9
90025,6037267403,10
90025,6037267404,11
90025,6037267501,12
90025,6037267502,13
90025,6037267600,14
90025,6037267700,15
90025,6037267902,16
90025,6037701100,17
90025,6037701602,18
90026,6037195100,1
90026,6037195400,2
90026,6037195500,3
90026,6037195600,4
90026,6037195710,5
90026,6037195720,6
90026,6037195802,7
90026,6037195803,8
90026,6037195804,9
90026,6037195901,10
90026,6037195902,11
90026,6037195903,12
90026,6037197300,13
90026,6037197410,14
90026,6037197420,15
90026,6037197500,16
90026,6037197600,17
90026,6037197700,18
90026,6037208000,19
90026,6037208301,20
90026,6037208302,21
90026,6037208401,22
90026,6037208402,23
90026,6037208501,24
90026,6037208610,25
90026,6037208620,26
90026,6037980010,27
90027,6037188201,1
90027,6037188202,2
90027,6037189101,3
90027,6037189102,4
90027,6037189201,5
90027,6037189202,6
90027,6037189300,7
90027,6037190301,8
90027,6037190401,9
90027,6037190402,10
90027,6037190510,11
90027,6037190520,12
90027,6037190901,13
90027,6037191110,14
90027,6037191201,15
90027,6037191302,16
90027,6037195100,17
90027,6037195201,18
90027,6037195202,19
90027,6037195300,20
90027,6037980009,21
90028,6037189300,1
90028,6037189500,2
90028,6037189600,3
90028,6037189702,4
90028,6037189902,5
90028,6037189904,6
90028,6037190100,7
90028,6037190201,8
90028,6037190202,9
90028,6037190301,10
90028,6037190510,11
90028,6037190700,12
90028,6037190801,13
90028,6037190802,14
90028,6037190901,15
90028,6037190902,16
90028,6037191000,17
90028,6037191901,18
90028,6037194101,19
90029,6037189201,1
90029,6037190901,2
90029,6037191110,3
90029,6037191120,4
90029,6037191201,5
90029,6037191203,6
90029,6037191204,7
90029,6037191301,8
90029,6037191302,9
90029,6037191410,10
90029,6037191420,11
90029,6037191500,12
90029,6037191610,13
90029,6037191620,14
90029,6037191710,15
90029,6037191720,16
90029,6037192510,17
90029,6037192520,18
90029,6037192610,19
90029,6037192700,20
90029,6037195202,21
90029,6037195300,22
90029,6037195400,23
90029,6037195901,24
90030,6037239330,1
90031,6037185100,1
90031,6037185320,2
90031,6037187200,3
90031,6037197200,4
90031,6037197410,5
90031,6037199000,6
90031,6037199110,7
90031,6037199120,8
90031,6037199201,9
90031,6037199202,10
90031,6037199300,11
90031,6037199400,12
90031,6037199700,13
90031,6037199800,14
90031,6037199900,15
90031,6037203500,16
90032,6037199110,1
90032,6037199120,2
90032,6037199202,3
90032,6037199300,4
90032,6037201110,5
90032,6037201120,6
90032,6037201200,7
90032,6037201301,8
90032,6037201302,9
90032,6037201401,10
90032,6037201402,11
90032,6037201501,12
90032,6037201503,13
90032,6037201504,14
90032,6037201601,15
90032,6037201602,16
90032,6037201700,17
90032,6037480802,18
90032,6037480803,19
90032,6037481901,20
90032,6037530700,21
90033,6037199900,1
90033,6037203100,2
90033,6037203200,3
90033,6037203300,4
90033,6037203500,5
90033,6037203600,6
90033,6037203710,7
90033,6037203720,8
90033,6037203800,9
90033,6037204110,10
90033,6037204200,11
90033,6037204300,12
90033,6037204410,13
90033,6037204420,14
90033,6037204600,15
90033,6037206032,16
90033,6037206050,17
90034,6037269000,1
