geoid,geoid2,TotalPopulation,Ozone,PM25,DieselPM,DrinkingWater,Lead,Pesticides,ToxRelease,Traffic,CleanupSites,GroundwaterThreats,HazWaste,ImpWaterBodies,SolidWaste,Asthma,LowBirthWeight,CardiovascularDisease,Education,LinguisticIsolation,Poverty,Unemployment,HousingBurden,Children10years,Pop1064years,Elderly64years,Hispanic,White,AfricanAmerican,NativeAmerican,AsianAmerican,OtherMultiple,well_count,median_rent
1400000US06037554515,6037554515,3793,.0438112,11.72204658,.065875326,390.7995546,29.12625917,0,3878.099975,762.1117359,0,15.75,.135,2,6.65,30.05,5.24,9.24,6.2,6.3,8.699999999999999,1.4,6,6.12,69.20999999999999,24.68,13.6,16.58,14.74,0,45.13,9.94,0,2182
1400000US06037554516,6037554516,3885,.04435661,11.86959561,.0451687,384.5506023,21.79997036,0,3774.993367,740.3555847,0,1.5,.21,6,9.5,27.72,5.99,8.859999999999999,5.7,15.8,5.7,12.6,17.6,6.8,67.88,25.33,16.04,10.73,14.47,.28,58.48,0,0,3020
1400000US06037554517,6037554517,4510,.04490202,11.88944363,.274614399,344.6392884,20.34412955,0,3699.630046,1397.004926,1,3,.225,6,.7,38.96,4.87,11.47,4.5,7.7,17,5.7,10.7,7.21,71.15000000000001,21.64,10.2,10.71,2.46,0,71.8,4.83,0,1928
1400000US06037554518,6037554518,5511,.04539285,11.92472965,.337025314,344.5797323,29.14910189,0,3625.533325,1362.685622,10.25,4,.315,7,0,31.92,4.81,9.58,5.6,9.1,15.7,6,11.2,10.07,70.23999999999999,19.69,13.81,13.97,8.75,0,61.28,2.2,0,2429
1400000US06037554519,6037554519,3498,.04435661,11.87303838,.039757218,343.1981406,16.7437482,0,3653.933268,762.3658102000001,.1,3,.3,6,8.7,29.71,6.92,8.92,8.800000000000001,19.6,14.9,8.9,10.8,3.97,64.31999999999999,31.7,10.15,15.92,2.77,2.66,65.27,3.23,0,2722
1400000US06037554521,6037554521,5949,.04435661,11.78434659,.592018617,397.2972167,36.14323465,.2099437,4505.64327,2839.244674,.9,26.3,.835,4,2,28.55,5.82,9.19,9.5,5.5,19.1,6.3,18.6,9.85,65.93000000000001,24.22,19.2,19.48,12.59,0,41.87,6.86,0,1837
1400000US06037554522,6037554522,4944,.0438112,11.74318761,.390854919,388.3287557,26.31998227,19.51376376,4117.620036,1843.116684,9,21.75,.155,4,3.25,31.69,5.43,9.58,4.4,8.800000000000001,8.699999999999999,4.6,12.6,7.4,66.81,25.79,17.98,17.37,9.390000000000001,.24,50.73,4.29,0,2254
1400000US06037554600,6037554600,4173,.04490202,11.92696003,.190627682,560.0494123,72.79312836,0,4487.56661,1378.990944,.1,14.25,.355,0,1,31.74,4.52,12.01,15,15.8,23.9,7,19.8,8.91,76.78,14.31,46.15,12.17,2.25,.12,37.34,1.97,2,1245
1400000US06037554700,6037554700,4328,.04539285,11.9351668,.102646576,564.7736629,67.20471249000001,0,4335.963379,1755.115016,.45,15,.305,0,0,39.36,4.51,14.84,35.1,14.1,26.6,10,20.5,10.42,74.63,14.95,76.94,4.62,.72,0,17.35,.37,0,1700
1400000US06037554801,6037554801,2744,.04435661,11.91444789,.469045175,542.3945035,70.39911391,0,4296.663249,3761.535698,0,32,.51,0,.2,28.9,5.44,12.37,35.3,13.5,48.1,3.6,18.2,10.97,79.08,9.949999999999999,76.53,7.03,2.7,0,10.2,3.53,1,1451
1400000US06037554802,6037554802,6378,.04435661,11.89366117,.431101583,427.3291992,59.19433332,0,4114.340047,772.599167,0,25,.34,0,1.45,30.97,7.47,13.32,13.8,9.199999999999999,29.2,8.699999999999999,19.5,10.21,72.91,16.89,26.42,15.91,4.3,0,50.01,3.36,0,1438
1400000US06037554900,6037554900,7636,.04435661,11.87789848,.142085219,417.4538898,64.69813621,1.166530776,3981.526611,739.9686186,2.25,19.5,.15,0,8.2,28.86,6.02,12.11,20.9,6.3,24.1,3.6,25.4,8.6,75.34999999999999,16.04,38.1,17.5,6.57,.71,34.32,2.82,0,1335
1400000US06037555001,6037555001,5321,.04320513,11.72757889,.476032769,427.4277124,60.11237488,7.200782946,4066.283407,1887.781961,0,1.5,.045,4,3.2,46.99,7.43,14.61,15.8,6.7,30.6,5.8,25,11.52,75.20999999999999,13.27,47.36,15.26,5.77,.15,29.94,1.52,0,1382
1400000US06037555002,6037555002,3625,.04320513,11.7071006,.656911501,418.2446187,61.65979351,4.30030764,4151.036743,2671.323468,2,2,.175,10,.75,29.29,6.57,9.68,11.9,9.199999999999999,22.8,2.7,18.6,14.4,75.72,9.880000000000001,37.74,28.74,14.73,0,17.54,1.24,0,1484
1400000US06037555102,6037555102,5987,.0438112,11.69661028,.19652231,418.2446187,55.99307655,0,3918.896688,906.1042652,.5,7,.345,13,1.65,41.48,5.81,13.63,23.8,11.5,42.2,4.1,26.4,9.300000000000001,78.45,12.24,50.94,10.32,9.470000000000001,.48,26.73,2.05,0,1125
1400000US06037555103,6037555103,4873,.0438112,11.83685846,.060192104,554.839142,44.82159796,0,3736.506633,796.4789800999999,.1,1,.22,7,5.9,48.36,6.97,15.1,13.8,10.6,23.5,5.1,14.9,11,75.72,13.28,31.25,19.93,10.06,0,35.42,3.34,0,1721
