,ZIP,geoid_x,index,geoid_y,geoid2,TotalPopulation,Ozone,PM25,DieselPM,DrinkingWater,Lead,Pesticides,ToxRelease,Traffic,CleanupSites,GroundwaterThreats,HazWaste,ImpWaterBodies,SolidWaste,Asthma,LowBirthWeight,CardiovascularDisease,Education,LinguisticIsolation,Poverty,Unemployment,HousingBurden,Children10years,Pop1064years,Elderly64years,Hispanic,White,AfricanAmerican,NativeAmerican,AsianAmerican,OtherMultiple,well_count,median_rent
3167,91356,6037139302,5,1400000US06037139302,6037139302,0.4406095550668493,1.0502322177600378,1.339228916527149,0.8750225022310953,0.65516356501425,-0.6706377615352445,-0.0487874354894081,-0.5613134205521516,2.8129126687056214,0.3792703589287295,-0.6149557227131319,-0.2674463144873065,0.211736276996289,1.291334290903732,-0.2056551296120264,-0.0538557049088749,-0.57045765163264,-0.8082376409113218,0.1828318386937162,0.3935454977631155,0.4321720873266752,0.8332116247493151,-0.2756808103532457,0.4967968417499668,-0.2898415325170488,-0.5504965143254169,0.8101418863084926,0.007665784299819,-0.0660362978449421,-0.3679721527205034,0.6294102696030958,-0.1461774078696717,1442.0
3168,91356,6037139303,6,1400000US06037139303,6037139303,-0.022455710028716,1.0502322177600378,1.339228916527149,0.1234591780289952,0.65516356501425,-1.0760534142994689,-0.0487874354894081,-0.5565636899231236,2.2738724789149507,-0.1345449440623999,-0.6149557227131319,-0.3265330520927395,0.211736276996289,1.7107188549356551,0.1999386260057682,-0.8074230637161478,-0.1152421714191028,-0.8328651006164725,0.4408924612682723,0.3772690704695087,0.0432379090682085,-0.0500674823317953,-0.4820033585272019,0.5389710047404535,-0.1975242888288684,-1.0414543620527772,1.2480402765185985,0.6661822862041048,-0.0938254997334997,-0.6753591190240763,0.858891934252219,-0.1461774078696717,1234.0
3169,91356,6037139401,7,1400000US06037139401,6037139401,-0.9948927667294032,1.0502322177600378,0.9197454119231634,0.7655257142729366,0.65516356501425,-1.061790160180197,-0.0487874354894081,-0.5503955138222972,2.5833284613060195,-0.5455971864553034,-0.3988231065514608,-0.2593890320865657,0.211736276996289,0.0105111629143446,0.1999386260057682,-0.8978511467730205,-0.1152421714191028,-1.017571048405103,0.2975254487268522,-0.2086823121003392,-1.4227447628290892,0.6067298024208253,-0.2848507013831991,-0.6278475046630274,0.7710740933598198,-1.054947918121394,1.7420182970825866,-0.1832085640782347,-0.0938254997334997,-0.6032560034713864,-0.5513772048642112,-0.1461774078696717,1183.0
3170,91357,6037139401,1,1400000US06037139401,6037139401,-0.9948927667294032,1.0502322177600378,0.9197454119231634,0.7655257142729366,0.65516356501425,-1.061790160180197,-0.0487874354894081,-0.5503955138222972,2.5833284613060195,-0.5455971864553034,-0.3988231065514608,-0.2593890320865657,0.211736276996289,0.0105111629143446,0.1999386260057682,-0.8978511467730205,-0.1152421714191028,-1.017571048405103,0.2975254487268522,-0.2086823121003392,-1.4227447628290892,0.6067298024208253,-0.2848507013831991,-0.6278475046630274,0.7710740933598198,-1.054947918121394,1.7420182970825866,-0.1832085640782347,-0.0938254997334997,-0.6032560034713864,-0.5513772048642112,-0.1461774078696717,1183.0
3171,91356,6037139402,8,1400000US06037139402,6037139402,-0.8741203394815058,0.9364033657395028,0.8982659869341038,-0.4442534166426694,0.65516356501425,-0.133113495847251,-0.0480205424572519,-0.5629312570964233,1.7056598055383967,-0.6483602470535293,0.6007902431962687,-0.3131042480915048,0.211736276996289,-0.3408650934367262,-0.2353676465725533,-1.4886479560779222,-0.5852786207558711,-1.0668259678154044,-0.8302950499323191,-1.1744169981876809,-0.4354503103268275,-0.3218456691259829,0.6390158198846262,-1.938370569441502,1.4099680338050058,-1.4393412717683969,2.1337802538100648,0.0154742803698304,-0.0938254997334997,-0.7854112427623924,0.2205156671373852,-0.1461774078696717,2469.0
3172,91364,6037139402,8,1400000US06037139402,6037139402,-0.8741203394815058,0.9364033657395028,0.8982659869341038,-0.4442534166426694,0.65516356501425,-0.133113495847251,-0.0480205424572519,-0.5629312570964233,1.7056598055383967,-0.6483602470535293,0.6007902431962687,-0.3131042480915048,0.211736276996289,-0.3408650934367262,-0.2353676465725533,-1.4886479560779222,-0.5852786207558711,-1.0668259678154044,-0.8302950499323191,-1.1744169981876809,-0.4354503103268275,-0.3218456691259829,0.6390158198846262,-1.938370569441502,1.4099680338050058,-1.4393412717683969,2.1337802538100648,0.0154742803698304,-0.0938254997334997,-0.7854112427623924,0.2205156671373852,-0.1461774078696717,2469.0
3173,91356,6037139801,11,1400000US06037139801,6037139801,-0.5055454190203058,0.9364033657395028,0.317345078236909,-0.9312685577453954,0.65516356501425,-1.4438978030867622,-0.0458737215858108,-0.5367617639164243,-0.9118985135736106,-0.6483602470535293,-0.6014474342030275,-0.3802482680976786,-0.7142963881108262,-0.4995511446920485,0.1999386260057682,-0.0297415494270422,-0.1152421714191028,-1.1407083469308568,-0.3141738047832066,-1.3968615045336417,-0.2858602417658788,-0.8654020427143586,-0.9152807096925096,-1.419784565262176,1.9169801975527911,-1.4566407026255976,2.048666488592115,-0.1415632517048412,-0.0938254997334997,-0.7677017056091002,1.9604039245680105,-0.1461774078696717,2522.0
3174,91356,6037139802,12,1400000US06037139802,6037139802,-0.1063080688433184,0.7201397562259121,0.1074965504808166,-0.9879404388551408,0.65516356501425,-1.2951314981189976,-0.0487763443672789,-0.5375596534379167,-1.1045731945880215,-0.6483602470535293,-0.5068894146322963,-0.4473922881038524,-0.7142963881108262,-0.4995511446920485,-0.4082730163548964,-2.0432735321600752,-0.8012413136943866,-1.1160808872257062,-0.9832198633098338,-1.2123953285394304,-0.6448764063121559,-0.7861334048993872,-0.0647733166643128,-1.786855983883085,1.7176921794322746,-1.428615624636932,1.839063898546043,-0.2187806017305084,-0.0938254997334997,-0.2800569504238027,0.9715465696254252,-0.13185541755198,3299.0
3175,91361,6037800325,1,1400000US06037800325,6037800325,-0.4523554899214909,-0.1915861248070127,-2.1197086298600643,-0.80646423343788,-1.5896236317621149,-1.7775351232427783,-0.0487874354894081,-0.6484673733142247,-0.0953766644117237,-0.5199064213057469,0.0154310744250757,-0.4205346801013829,1.3692771083801831,-0.4995511446920485,-1.3236333280183576,-1.741846588637166,-0.974858380566526,-1.350041754424638,-1.183933680867822,-1.641007913937745,-1.2432366805559507,-0.6389202203858688,-0.6103818329465525,-1.916502484927916,2.1880705163196703,-1.4344974311283805,2.251507704765734,-0.523311948460949,-0.0938254997334997,-0.6348801769594082,0.5209280281326011,-0.1461774078696717,2589.0
3176,91362,6037800331,2,1400000US06037800331,6037800331,-2.2301506495654118,-0.1371777836957896,-2.0808028196190502,-0.553831578723287,-1.592584725318045,0.017021212825791,-0.0487872024849308,-0.6514133379003799,0.2653172593476753,-0.0774543548411632,-0.2097070674099984,-0.2486459888855779,2.06380160721052,-0.3862039652239611,-1.2531108480036128,-0.0208825864269696,-1.4089010477468753,-0.8143945058376094,-1.0979134733429698,-1.3751596014754992,-0.0067356180339023,-0.0163432179863856,0.6688179657319752,-0.5981693899660182,0.1351108590634646,-1.0231169653441443,1.1295173698132288,-0.5684277035321252,0.1340459557526724,0.4763932794096809,-0.121620632884944,-0.13185541755198,3034.0
